1;375;1000;0.01
2;374;2000;0.01
3;221;4000;0.01
4;283;8000;0.01
5;510;16000;0.01
6;507;32000;0.01
7;590;64000;0.01
8;863;120000;0.01
1;297;1000;0.25
2;368;2000;0.25
3;2887;4000;0.25
4;11592;8000;0.25
5;10961;16000;0.25
6;9615;32000;0.25
7;12395;64000;0.25
8;13878;120000;0.25
1;601;1000;0.5
2;4978;2000;0.5
3;15489;4000;0.5
4;21960;8000;0.5
5;20543;16000;0.5
6;22639;32000;0.5
7;21234;64000;0.5
8;19687;120000;0.5
1;12688;1000;0.75
2;18966;2000;0.75
3;19464;4000;0.75
4;25412;8000;0.75
5;30280;16000;0.75
6;20161;32000;0.75
7;19259;64000;0.75
8;29940;120000;0.75
1;13170;1000;0.99
2;36598;2000;0.99
3;36852;4000;0.99
4;23542;8000;0.99
5;21913;16000;0.99
6;22262;32000;0.99
7;22026;64000;0.99
8;24587;120000;0.99
1;301;1000;0.01
2;370;2000;0.01
3;365;4000;0.01
4;311;8000;0.01
5;481;16000;0.01
6;326;32000;0.01
7;418;64000;0.01
8;1013;120000;0.01
1;310;1000;0.25
2;602;2000;0.25
3;4553;4000;0.25
4;9650;8000;0.25
5;8909;16000;0.25
6;9714;32000;0.25
7;8481;64000;0.25
8;17102;120000;0.25
1;654;1000;0.5
2;8412;2000;0.5
3;19833;4000;0.5
4;16192;8000;0.5
5;15469;16000;0.5
6;32719;32000;0.5
7;17236;64000;0.5
8;18036;120000;0.5
1;8874;1000;0.75
2;19761;2000;0.75
3;22401;4000;0.75
4;26564;8000;0.75
5;31862;16000;0.75
6;47943;32000;0.75
7;22121;64000;0.75
8;302074;120000;0.75
1;24072;1000;0.99
2;52963;2000;0.99
3;56490;4000;0.99
4;43430;8000;0.99
5;46328;16000;0.99
6;39276;32000;0.99
7;46501;64000;0.99
8;41929;120000;0.99
1;329;1000;0.01
2;346;2000;0.01
3;283;4000;0.01
4;285;8000;0.01
5;865;16000;0.01
6;687;32000;0.01
7;1100;64000;0.01
8;846;120000;0.01
1;662;1000;0.25
2;570;2000;0.25
3;7069;4000;0.25
4;13679;8000;0.25
5;16202;16000;0.25
6;16692;32000;0.25
7;15354;64000;0.25
8;16735;120000;0.25
1;609;1000;0.5
2;10755;2000;0.5
3;26999;4000;0.5
4;30390;8000;0.5
5;54608;16000;0.5
6;22778;32000;0.5
7;26746;64000;0.5
8;144671;120000;0.5
1;13964;1000;0.75
2;26963;2000;0.75
3;20074;4000;0.75
4;47084;8000;0.75
5;19522;16000;0.75
6;17679;32000;0.75
7;20293;64000;0.75
8;24271;120000;0.75
1;9447;1000;0.99
2;35677;2000;0.99
3;23064;4000;0.99
4;24082;8000;0.99
5;21591;16000;0.99
6;29845;32000;0.99
7;21168;64000;0.99
8;22750;120000;0.99
