1;131;1000;0.01
2;95;2000;0.01
3;173;4000;0.01
4;222;8000;0.01
5;239;16000;0.01
6;353;32000;0.01
7;244;64000;0.01
8;367;120000;0.01
1;258;1000;0.25
2;363;2000;0.25
3;716;4000;0.25
4;604;8000;0.25
5;575;16000;0.25
6;668;32000;0.25
7;782;64000;0.25
8;607;120000;0.25
1;220;1000;0.5
2;327;2000;0.5
3;720;4000;0.5
4;526;8000;0.5
5;588;16000;0.5
6;767;32000;0.5
7;584;64000;0.5
8;745;120000;0.5
1;311;1000;0.75
2;370;2000;0.75
3;681;4000;0.75
4;482;8000;0.75
5;674;16000;0.75
6;924;32000;0.75
7;1148;64000;0.75
8;5575;120000;0.75
1;336;1000;0.99
2;717;2000;0.99
3;65;4000;0.99
4;711;8000;0.99
5;739;16000;0.99
6;648;32000;0.99
7;710;64000;0.99
8;1154;120000;0.99
1;100;1000;0.01
2;147;2000;0.01
3;89;4000;0.01
4;173;8000;0.01
5;162;16000;0.01
6;167;32000;0.01
7;356;64000;0.01
8;410;120000;0.01
1;229;1000;0.25
2;505;2000;0.25
3;488;4000;0.25
4;467;8000;0.25
5;518;16000;0.25
6;719;32000;0.25
7;735;64000;0.25
8;689;120000;0.25
1;292;1000;0.5
2;576;2000;0.5
3;525;4000;0.5
4;655;8000;0.5
5;842;16000;0.5
6;945;32000;0.5
7;864;64000;0.5
8;729;120000;0.5
1;57;1000;0.75
2;421;2000;0.75
3;72;4000;0.75
4;592;8000;0.75
5;878;16000;0.75
6;1348;32000;0.75
7;728;64000;0.75
8;663;120000;0.75
1;190;1000;0.99
2;567;2000;0.99
3;652;4000;0.99
4;50;8000;0.99
5;586;16000;0.99
6;658;32000;0.99
7;1643;64000;0.99
8;70;120000;0.99
1;207;1000;0.01
2;122;2000;0.01
3;124;4000;0.01
4;117;8000;0.01
5;552;16000;0.01
6;180;32000;0.01
7;267;64000;0.01
8;620;120000;0.01
1;266;1000;0.25
2;44;2000;0.25
3;413;4000;0.25
4;439;8000;0.25
5;466;16000;0.25
6;1009;32000;0.25
7;654;64000;0.25
8;1002;120000;0.25
1;449;1000;0.5
2;411;2000;0.5
3;532;4000;0.5
4;842;8000;0.5
5;566;16000;0.5
6;566;32000;0.5
7;1272;64000;0.5
8;141;120000;0.5
1;285;1000;0.75
2;49;2000;0.75
3;64;4000;0.75
4;43;8000;0.75
5;702;16000;0.75
6;55;32000;0.75
7;102;64000;0.75
8;1020;120000;0.75
1;793;1000;0.99
2;614;2000;0.99
3;570;4000;0.99
4;627;8000;0.99
5;711;16000;0.99
6;697;32000;0.99
7;127;64000;0.99
8;762;120000;0.99
